input,combined,chebyshev,cheon,
-0.93652,2.0917e-07,-1.00064,-0.999993,
-0.936397,1.85978e-07,-1.00064,-0.999993,
-0.936275,1.82816e-07,-1.00056,-0.999993,
-0.936153,2.0438e-07,-1.00042,-0.999992,
-0.936031,1.88522e-07,-1.00023,-0.999992,
-0.935909,1.64946e-07,-1.00001,-0.999992,
-0.935787,1.70818e-07,-0.999784,-0.999992,
-0.935665,1.95835e-07,-0.999588,-0.999992,
-0.935543,2.23412e-07,-0.999442,-0.999992,
-0.935421,1.73624e-07,-0.999363,-0.999992,
-0.935299,2.49983e-07,-0.99936,-0.999992,
-0.935177,1.84951e-07,-0.999434,-0.999992,
-0.935055,1.82254e-07,-0.999576,-0.999992,
-0.934933,1.64335e-07,-0.999768,-0.999992,
-0.93481,2.05465e-07,-0.999987,-0.999992,
-0.934688,2.02939e-07,-1.00021,-0.999992,
-0.934566,1.79439e-07,-1.0004,-0.999991,
-0.934444,2.00044e-07,-1.00055,-0.999991,
-0.934322,1.60952e-07,-1.00063,-0.999991,
-0.9342,2.13422e-07,-1.00064,-0.999991,
-0.934078,1.9817e-07,-1.00057,-0.999991,
-0.933956,2.12528e-07,-1.00044,-0.999991,
-0.933834,2.17162e-07,-1.00025,-0.999991,
-0.933712,2.3198e-07,-1.00004,-0.999991,
-0.93359,1.91658e-07,-0.999815,-0.999991,
-0.933468,2.17418e-07,-0.999617,-0.999991,
-0.933346,1.974e-07,-0.999463,-0.999991,
-0.933223,1.95283e-07,-0.999371,-0.999991,
